Date,temperature (degC),humidity (%),solar (MJ/m2/day),precip (mm/day)
2009-11-23,27.92,85.95,16.26,1.28
2009-11-24,27.84,87.78,18.86,0
2009-11-25,27.72,88.83,16.02,0
2009-11-26,27.99,86.29,18.96,3.01
2009-11-27,27.87,83.09,19.96,0
2009-11-28,27.83,83.55,14.83,0
2009-11-29,27.79,83.82,19.49,0
2009-11-30,27.8,83.62,20.54,0
2009-12-01,27.9,83.42,20.55,0
2009-12-02,28.34,83.27,20.23,0
2009-12-03,27.92,80.92,20.66,0
2009-12-04,27.81,80.49,20.82,0
2009-12-05,28.06,78.53,21.4,0
2009-12-06,27.77,78.85,20.96,0
2009-12-07,27.92,78.72,19.75,0
2009-12-08,27.81,79.35,20.24,0
2009-12-09,28.05,79.88,19.5,0
2009-12-10,27.83,81.07,18.23,0
2009-12-11,27.83,78.79,19.3,0
2009-12-12,27.86,78.29,15.92,0
2009-12-13,27.83,77.71,19.18,0
2009-12-14,27.84,77.59,20.9,0
2009-12-15,27.87,78.07,19.81,0
2009-12-16,27.74,78.42,20.8,0
2009-12-17,27.8,78.11,20.42,0
